1.5, 2.5, 5.5, 1.5, 9.5, 3.5, 7.5, 4.5, 
2.5, 6.0, 8.5, 10.0, 1.5, 3.5, 7.5, 5.0,
1.5, 2.5, 5.5, 1.5, 9.5, 3.5, 7.5, 4.5, 
2.5, 6.0, 8.5, 10.0, 1.5, 3.5, 7.5, 5.0,
1.5, 2.5, 5.5, 1.5, 9.5, 3.5, 7.5, 4.5, 
2.5, 6.0, 8.5, 10.0, 1.5, 3.5, 7.5, 5.0,
1.5, 2.5, 5.5, 1.5, 9.5, 3.5, 7.5, 4.5, 
2.5, 6.0, 8.5, 10.0, 1.5, 3.5, 7.5, 5.0,
1.5, 2.5, 5.5, 1.5, 9.5, 3.5, 7.5, 4.5, 
2.5, 6.0, 8.5, 10.0, 1.5, 3.5, 7.5, 5.0,
1.5, 2.5, 5.5, 1.5, 9.5, 3.5, 7.5, 4.5, 
2.5, 6.0, 8.5, 10.0, 1.5, 3.5, 7.5, 5.0,
1.5, 2.5, 5.5, 1.5, 9.5, 3.5, 7.5, 4.5, 
2.5, 6.0, 8.5, 10.0, 1.5, 3.5, 7.5, 5.0,
1.5, 2.5, 5.5, 1.5, 9.5, 3.5, 7.5, 4.5, 
2.5, 6.0, 8.5, 10.0, 1.5, 3.5, 7.5, 5.0,
1.5, 2.5, 5.5, 1.5, 9.5, 3.5, 7.5, 4.5, 
2.5, 6.0, 8.5, 10.0, 1.5, 3.5, 7.5, 5.0,
1.5, 2.5, 5.5, 1.5, 9.5, 3.5, 7.5, 4.5, 
2.5, 6.0, 8.5, 10.0, 1.5, 3.5, 7.5, 5.0,
1.5, 2.5, 5.5, 1.5, 9.5, 3.5, 7.5, 4.5, 
2.5, 6.0, 8.5, 10.0, 1.5, 3.5, 7.5, 5.0,
1.5, 2.5, 5.5, 1.5, 9.5, 3.5, 7.5, 4.5, 
2.5, 6.0, 8.5, 10.0, 1.5, 3.5, 7.5, 5.0,
1.5, 2.5, 5.5, 1.5, 9.5, 3.5, 7.5, 4.5, 
2.5, 6.0, 8.5, 10.0, 1.5, 3.5, 7.5, 5.0,
1.5, 2.5, 5.5, 1.5, 9.5, 3.5, 7.5, 4.5, 
2.5, 6.0, 8.5, 10.0, 1.5, 3.5, 7.5, 5.0,
1.5, 2.5, 5.5, 1.5, 9.5, 3.5, 7.5, 4.5, 
2.5, 6.0, 8.5, 10.0, 1.5, 3.5, 7.5, 5.0,
1.5, 2.5, 5.5, 1.5, 9.5, 3.5, 7.5, 4.5, 
2.5, 6.0, 8.5, 10.0, 1.5, 3.5, 7.5, 5.0,
